method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
nn_policy_net,nn,5,2,1.1,True,1.381063125708281,0.0,-0.5278010839523386,0.808,1.381063125708281,0.808,0.790475,0.8257874999999999,0.0751310946036108,1.2971448476353935,1.3280582412720685,0.5435563801773732,1.2110408291291188,1.484732396508885,1.820310063316909,5.598891781455841,7.666350781917572,0.40110328838006776,2.8248191322897083,223.15059940778676,0.46488371388232624,0.8083794116973877,16.534054882009514,0.0,34053
nn_ste_goalreach,nn,5,2,1.1,True,1.381063125708281,0.0,-0.5278010839523386,0.808,1.381063125708281,0.808,0.790475,0.8257874999999999,0.0751310946036108,1.2971448476353935,1.3280582412720685,0.5435563801773732,1.2110408291291188,1.484732396508885,1.820310063316909,5.598891781455841,7.666350781917572,0.40110328838006776,2.8248191322897083,223.15059940778676,0.46488371388232624,0.8076171875,16.6418077260023,0.0,34053
nn_digital_hedge,nn,5,2,1.1,False,1.0152850434178329,0.08471495658216721,-0.14789622988833562,0.5145,1.0152850434178329,0.5145,0.4932375,0.538025,0.028808572885722812,1.1078636413964864,1.1016230404409957,0.9872941492101951,1.0457594789830538,1.154656391244,1.2660039608227323,0.7028433835921596,2.003901496529579,0.2958912966819248,0.3184831848191978,12.61577446386218,0.06839185515591857,0.4765625,14.695861104992218,0.0,33537
nn_policy_long_only,nn,5,2,1.1,True,1.6697101646655597,0.0,-0.3511968110426509,0.6705,1.6697101646655597,0.6705,0.6502375,0.6947874999999999,0.04420621578448024,1.240664563296052,1.2135506431781873,0.8595359684079724,1.0442644271562291,1.4028630138014988,1.7062903251861312,1.000017097103062,1.0000172853469849,1.000017097103062,0.9999742289087665,6.8247318267822266e-06,0.22460489967142372,0.6729684472084045,16.632727029005764,0.0,34053
nn_ste_long_only,nn,5,2,1.1,True,1.6697067420761909,0.0,-0.35119939576027726,0.6705,1.6697067420761909,0.6705,0.6502375,0.6947874999999999,0.04420624466254261,1.2406651180446502,1.2135515336454485,0.8595343845277396,1.0442657568160776,1.4028642541646024,1.7062911767874434,1.000029698414589,1.0000299215316772,1.000029698414589,0.9999731963546715,1.0728836059570312e-05,0.22460551467036038,0.6728515625,6.913655659998767,0.0,34053
nn_digital_hedge_long_only,nn,5,2,1.1,False,1.0131758861758975,0.0868241138241026,-0.23315434422453096,0.524,1.0131758861758975,0.524,0.502,0.5457625,0.03592993681885058,1.1262644144106948,1.106719985278013,0.9594504414705564,1.0346307959675487,1.1931172897916695,1.3718892366631403,0.4685514376772132,1.000000111758709,0.4685514376772132,0.2988259168035948,5.597011115401983,0.09499259580153954,0.53759765625,14.96044952099328,0.0,33537
nn_historical_replay,nn,5,2,1.1,True,1.1551868415085063,0.0,-0.7576349933212185,0.417,1.1551868415085063,0.417,0.3975,0.44,0.2737094472131246,0.9290602388167986,0.93258253197619,0.272718223863625,0.5707868157200966,1.267478585343076,1.5581676998965375,6.853769976108229,8.000000000000002,-3.1462300238917718,1.9071043838894777,356.53346449203275,0.5234708500132844,1.0,7.26106068000081,0.0,34437
nn_historical_replay_long_only,nn,5,2,1.1,True,1.6697167206687131,0.0,-0.35120153200772264,0.6705,1.6697167206687131,0.6705,0.6502375,0.6947874999999999,0.044206575564538615,1.2406673907626422,1.2135517929249162,0.8595332863884194,1.0442654218030825,1.402868815818101,1.7063005136322087,1.0000386186500094,1.0000387728214264,1.0000386186500094,0.9999802616698232,1.9222497940063477e-05,0.22460777677934854,0.0,7.220735875991522,0.0,34437
deep_bsde,nn,5,2,1.1,True,2.1298974765570486,0.0,-0.6150622774592771,0.7425,2.1298974765570486,0.7425,0.722975,0.762,0.11904153123167656,1.4632945225910534,1.5578963841809221,0.35830257919435066,1.0776242815495862,1.878151897802982,2.316746773290171,4.491709573589154,7.997649192810059,1.4314259701107273,2.366395267150608,275.9706098446217,0.568794382813852,0.7251254320144653,19.62785922299372,0.0,52680
pinn,nn,5,2,1.1,True,3.403947265999016,0.0,-0.45728254860185347,0.609,3.403947265999016,0.609,0.5885,0.632,0.15209865721992621,1.2854063442173873,1.2406175953620178,0.3989394544345104,0.8403340316496221,1.6321187311125618,2.351235408274259,7.999813340789643,8.000000000000002,-2.0001866592103568,2.5436528482193106,72.20265829797222,0.5093616707612154,0.6178270578384399,63.98921529200743,0.0,8902
actor_critic,nn,5,2,1.1,True,1.3583004784502855,0.0,-0.579520193951088,0.877,1.3583004784502855,0.877,0.8612375,0.8902625,0.04338544276028951,1.330095994980651,1.3541020792070222,0.6860229103551035,1.2400107641430504,1.4645548588238777,1.7295971617879182,4.579192037843353,6.051573991775513,1.420807962156647,2.2367337337135065,211.29853011866481,0.48996074190010974,0.862774670124054,20.29700422300084,0.0,9094
lstm,nn,5,2,1.1,True,1.5559033707625838,0.0,-0.6803627323166044,0.8535,1.5559033707625838,0.8535,0.8357375,0.8695,0.050085792323372964,1.4032811750850074,1.424777986637269,0.6722146289839288,1.2458928189251093,1.6069661324685889,1.9370839610358064,4.2103907008076185,5.713321208953857,1.7688067716745595,2.1684204481261307,172.04147939496778,0.5447619115943785,0.8427624702453613,21.31567423499655,0.0,4773
transformer,nn,5,2,1.1,True,2.0804005129910284,0.0,-0.46576789572720456,0.5945,2.0804005129910284,0.5945,0.5735,0.6185,0.16174566327452347,1.301488831650262,1.2632609948662146,0.37702381152798803,0.8213206608219398,1.756977088852059,2.3270902852348616,7.995919795060039,8.000000000000002,-2.0040802049399606,3.1119425641081455,202.33345461596952,0.48221639381704634,0.5959926247596741,15.7059575470048,0.0,17349
es_grpo,nn,5,2,1.1,True,1.2354525679091273,0.0,-0.7050073338416998,0.7985,1.2354525679091273,0.7985,0.7807375,0.8152625,0.040754086663552444,1.434681982777688,1.4412839290634945,0.8154443928578725,1.1587430403319063,1.7014773589885612,2.048828278478908,3.1997344333141005,3.8138941526412964,2.8002655666858995,1.6605189589451326,53.32200719969494,0.4797511577176438,0.8017578125,4.900215066008968,0.0,4677
es_grpo_long_only,nn,5,2,1.1,True,1.485229750552657,0.0,-0.42624138976665815,0.71,1.485229750552657,0.71,0.6892375,0.7302875,0.035047464675145426,1.2677103694705614,1.242055374373023,0.8876038817463895,1.0765370409271995,1.4314297917951067,1.725684997935343,1.5073065844637838,1.8072289824485779,1.5073065844637838,0.9642726690614994,3.514570415019989,0.2415512005212952,0.6865234375,4.966387020002003,0.0,4677
